,precision,accuracy,recall,duration,f1,auc,iter,fold,tune,model,dataset
1199,0.8712539810444726,0.8264840182648402,0.7297014883221781,403.44160509109497,0.7652544297519895,0.8998630291733741,5,5,10,resnetM,WESAD
1200,0.7293560606060606,0.7654867256637168,0.6869030644394694,29.641249179840088,0.687169520607907,0.8373894304904091,1,1,1,cnnM,WESAD
1201,0.6928763440860215,0.7477876106194691,0.6904161263196832,22.55498766899109,0.6894116086590394,0.8360979743171196,2,2,1,cnnM,WESAD
1202,0.8345983554712207,0.8053097345132744,0.7179367240240957,21.57332801818848,0.7279600941951342,0.8316069112798643,3,3,1,cnnM,WESAD
1203,0.6770541700187719,0.7389380530973452,0.6624740042023403,19.379335403442386,0.661334675333458,0.8144733418068343,4,4,1,cnnM,WESAD
1204,0.774812030075188,0.8141592920353983,0.7329363261566652,22.708427906036377,0.7297575394746688,0.8411901397697529,5,5,1,cnnM,WESAD
1205,0.17404129793510326,0.5221238938053098,0.3333333333333333,668.963160276413,0.22868217054263565,0.4985875706214689,1,1,1,encoderM,WESAD
1206,0.17404129793510326,0.5221238938053098,0.3333333333333333,591.9133768081665,0.22868217054263565,0.5,2,2,1,encoderM,WESAD
1207,0.17404129793510326,0.5221238938053098,0.3333333333333333,591.1058397293092,0.22868217054263565,0.5,3,3,1,encoderM,WESAD
1208,0.1047197640117994,0.3141592920353982,0.3333333333333333,593.1567254066467,0.15937149270482606,0.4938935414287527,4,4,1,encoderM,WESAD
1209,0.17404129793510326,0.5221238938053098,0.3333333333333333,590.9766111373901,0.22868217054263565,0.5,5,5,1,encoderM,WESAD
1210,0.7941646997115132,0.8539823008849557,0.7527501241991574,305.74926972389216,0.7568830248256085,0.8820172523920435,1,1,1,fcnM,WESAD
1211,0.8739125932062967,0.8716814159292036,0.762179582303717,196.0812749862671,0.7848649382380888,0.8792811073188251,2,2,1,fcnM,WESAD
1212,0.9156118143459916,0.8230088495575221,0.7086664128917649,278.27156043052673,0.7493627789279964,0.9087867409065784,3,3,1,fcnM,WESAD
1213,0.9016290726817044,0.8451327433628318,0.7321405912955209,240.2328419685364,0.7666361766646155,0.8601216399020171,4,4,1,fcnM,WESAD
1214,0.7967974054930577,0.8451327433628318,0.7321405912955209,222.44228649139404,0.751192809023817,0.8432671152890775,5,5,1,fcnM,WESAD
1215,0.7273097273097274,0.6814159292035398,0.5313981921764208,1996.441659450531,0.5459228876127974,0.9400951440817756,1,1,1,inceptionM,WESAD
1216,0.8295695289610098,0.7787610619469026,0.6748078945500765,1194.8173773288727,0.7084632474231719,0.7777114665393491,2,2,1,inceptionM,WESAD
1217,0.535286990761775,0.6194690265486725,0.528955071089232,1829.4497380256653,0.5311155541252702,0.7431523789246396,3,3,1,inceptionM,WESAD
1218,0.7869664385793418,0.7743362831858407,0.6890924106249959,3150.255957365036,0.7086063783311488,0.8571801092092329,4,4,1,inceptionM,WESAD
1219,0.5684487291849255,0.5884955752212391,0.470058862873377,1544.6432077884674,0.4753106390117067,0.6919320549960322,5,5,1,inceptionM,WESAD
1220,0.8742028985507245,0.8141592920353983,0.7179765107671529,43.09635996818543,0.7422545662100456,0.8878707425496635,1,1,1,mcdcnnM,WESAD
1221,0.8596348096348096,0.8008849557522124,0.7451637600837887,57.70774698257446,0.7833357706218985,0.8361780854619241,2,2,1,mcdcnnM,WESAD
1222,0.8370646766169155,0.7787610619469026,0.7218369001610826,38.905499458312995,0.7555076502444923,0.8516411493852409,3,3,1,mcdcnnM,WESAD
1223,0.7229039479039479,0.6283185840707964,0.529569077313169,27.018266677856445,0.5620979020979021,0.7868247813342109,4,4,1,mcdcnnM,WESAD
1224,0.8057222525307631,0.7477876106194691,0.6563296406934507,26.26590442657471,0.6810465210465212,0.8004012009144499,5,5,1,mcdcnnM,WESAD
1225,0.4581966924080539,0.6283185840707964,0.4890188589162092,1109.496895313263,0.4721755368814193,0.6543252490972711,1,1,1,resnetM,WESAD
1226,0.4747816568060063,0.5663716814159292,0.4747816568060063,758.2440268993378,0.4747816568060063,0.615163803096484,2,2,1,resnetM,WESAD
1227,0.5770977317029948,0.6460176991150443,0.5052066867535953,1223.4748065471651,0.5240505955673562,0.7457761533316557,3,3,1,resnetM,WESAD
1228,0.8989100707850707,0.8495575221238938,0.7405753808236502,841.0892198085785,0.7717725686765934,0.9309124713159088,4,4,1,resnetM,WESAD
1229,0.7754563894523328,0.7964601769911505,0.7071039767387345,1046.9513912200928,0.7288168023561057,0.8905692515145845,5,5,1,resnetM,WESAD
1230,0.7386932990381266,0.7433628318584071,0.6947765382952779,30.70953941345215,0.7121437908496734,0.8441612416904848,1,1,2,cnnM,WESAD
1231,0.6453903232002732,0.6858407079646017,0.6325952354837531,15.94555115699768,0.6362680977419,0.7932836751767285,2,2,2,cnnM,WESAD
1232,0.5347490347490347,0.6061946902654868,0.5079648758331021,14.031415939331055,0.5077082328806621,0.735678923134163,3,3,2,cnnM,WESAD
1233,0.7590552787248303,0.7743362831858407,0.7338245383124828,18.065902233123783,0.7445396113934067,0.8165874157757663,4,4,2,cnnM,WESAD
1234,0.6385231626610937,0.6725663716814161,0.6005324971665388,15.198858976364136,0.6092554131918928,0.8198579935868072,5,5,2,cnnM,WESAD
1235,0.1047197640117994,0.3141592920353982,0.3333333333333333,1000.0370123386383,0.15937149270482606,0.5,1,1,2,encoderM,WESAD
1236,0.1047197640117994,0.3141592920353982,0.3333333333333333,919.6132836341858,0.15937149270482606,0.5,2,2,2,encoderM,WESAD
1237,0.1047197640117994,0.3141592920353982,0.3333333333333333,917.5935645103456,0.15937149270482606,0.5,3,3,2,encoderM,WESAD
1238,0.17404129793510326,0.5221238938053098,0.3333333333333333,919.6257288455963,0.22868217054263565,0.5,4,4,2,encoderM,WESAD
1239,0.17404129793510326,0.5221238938053098,0.3333333333333333,920.02050447464,0.22868217054263565,0.5,5,5,2,encoderM,WESAD
1240,0.5826491516146689,0.6017699115044248,0.4221545489151122,230.94740200042725,0.38935925216081707,0.8196730389974601,1,1,2,fcnM,WESAD
1241,0.9125,0.8141592920353983,0.6992767415302626,712.0763850212097,0.7412531909955907,0.9222072394667286,2,2,2,fcnM,WESAD
1242,0.8358108108108109,0.6946902654867256,0.548501115104123,331.079448223114,0.5726679078164226,0.8857679594132207,3,3,2,fcnM,WESAD
1243,0.8654088050314465,0.8008849557522124,0.6889321883353872,338.7815103530884,0.7276911938794478,0.8618023609668395,4,4,2,fcnM,WESAD
1244,0.7617391304347826,0.7699115044247787,0.6710281539596412,285.8040099143982,0.6980473974214947,0.8477560276915731,5,5,2,fcnM,WESAD
1245,0.8709927084606298,0.7566371681415929,0.6290413115431019,1926.8374500274656,0.6631890008709718,0.6956378675165974,1,1,2,inceptionM,WESAD
1246,0.525140056022409,0.7256637168141593,0.5586456592663325,1147.4883852005005,0.5292906095071449,0.7445384630273626,2,2,2,inceptionM,WESAD
1247,0.5233494363929146,0.6061946902654868,0.4225352112676057,1914.9664306640625,0.3827920227920227,0.7431128610109274,3,3,2,inceptionM,WESAD
1248,0.17404129793510326,0.5221238938053098,0.3333333333333333,1241.2166998386385,0.22868217054263565,0.726215861361481,4,4,2,inceptionM,WESAD
1249,0.7254832833891532,0.6504424778761062,0.5170867931670032,1312.8122246265414,0.5376972494424126,0.783138055697139,5,5,2,inceptionM,WESAD
1250,0.6730506383971729,0.7300884955752213,0.6792640097724844,32.250839471817024,0.6625728525809106,0.8378362248617679,1,1,2,mcdcnnM,WESAD
1251,0.8038967683837827,0.7566371681415929,0.6874374971772919,24.40010094642639,0.7030982905982907,0.8310052712057964,2,2,2,mcdcnnM,WESAD
1252,0.7824350252921682,0.7123893805309734,0.6249551054993882,27.21027755737305,0.6568010852139597,0.8429509719793797,3,3,2,mcdcnnM,WESAD
1253,0.8503394467524572,0.7831858407079646,0.7055350886814243,20.984308004379272,0.7386430025716297,0.8818747728392035,4,4,2,mcdcnnM,WESAD
1254,0.7326803631151457,0.6460176991150443,0.5502183969598627,15.509082555770874,0.5832304688638285,0.8384115196600276,5,5,2,mcdcnnM,WESAD
1255,0.8143451143451143,0.7256637168141593,0.6352996586942635,2295.7156631946564,0.6691685095090668,0.8501631256465346,1,1,2,resnetM,WESAD
1256,0.925438596491228,0.8495575221238938,0.7368354269762721,2658.0817034244533,0.7727721661054995,0.7337331363351893,2,2,2,resnetM,WESAD
1257,0.8235221976943832,0.8097345132743363,0.7039317904679566,1753.7906925678253,0.7345003238706771,0.7853007877775126,3,3,2,resnetM,WESAD
1258,0.8175381263616558,0.8495575221238938,0.7319470341671345,1527.3156778812408,0.7495953145182302,0.8816048681768424,4,4,2,resnetM,WESAD
1259,0.8162979913551996,0.8141592920353983,0.7247348804999795,1829.9797751903534,0.7481398809523809,0.7934955127005736,5,5,2,resnetM,WESAD
1260,0.7875322875322875,0.7654867256637168,0.7071781736379492,35.14411211013794,0.7317823319067639,0.8354377294458459,1,1,3,cnnM,WESAD
1261,0.7823297764227642,0.7566371681415929,0.6743476587114686,43.84591627120972,0.6938220806551388,0.8311267820697279,2,2,3,cnnM,WESAD
1262,0.6157605160927421,0.6504424778761062,0.5875566423429875,23.919890880584717,0.5887832357666805,0.7948353581559596,3,3,3,cnnM,WESAD
1263,0.8548160897558489,0.8053097345132744,0.7351934173371272,40.00164532661439,0.7596955766354673,0.8575613092204164,4,4,3,cnnM,WESAD
1264,0.7567013340762063,0.7699115044247787,0.6798038190972067,32.94942903518677,0.6868394910660246,0.8420649104583218,5,5,3,cnnM,WESAD
1265,0.1047197640117994,0.3141592920353982,0.3333333333333333,674.9844059944153,0.15937149270482606,0.5028248587570622,1,1,3,encoderM,WESAD
1266,0.17404129793510326,0.5221238938053098,0.3333333333333333,594.4202492237091,0.22868217054263565,0.5,2,2,3,encoderM,WESAD
1267,0.17404129793510326,0.5221238938053098,0.3333333333333333,597.7694754600525,0.22868217054263565,0.5,3,3,3,encoderM,WESAD
1268,0.17404129793510326,0.5221238938053098,0.3333333333333333,597.0847425460814,0.22868217054263565,0.5,4,4,3,encoderM,WESAD
1269,0.17404129793510326,0.5221238938053098,0.3333333333333333,594.7966525554658,0.22868217054263565,0.5007580987528469,5,5,3,encoderM,WESAD
1270,0.8851851851851852,0.7256637168141593,0.5536099479761452,264.2782173156738,0.5401466522125726,0.8743824989945782,1,1,3,fcnM,WESAD
1271,0.8096030161898425,0.7610619469026548,0.6429387133612486,274.05220103263855,0.677646768436242,0.8599630305884783,2,2,3,fcnM,WESAD
1272,0.9601990049751244,0.9292035398230089,0.8558558558558559,188.28881907463074,0.886881955847473,0.9609697427195636,3,3,3,fcnM,WESAD
1273,0.9417249417249416,0.8893805309734514,0.7790889481030326,208.07993531227112,0.8057074536018044,0.8376738519373993,4,4,3,fcnM,WESAD
1274,0.8092818428184282,0.7610619469026548,0.6084253267351859,207.8408966064453,0.6136970384886946,0.8849286741981895,5,5,3,fcnM,WESAD
1275,0.6168300653594772,0.7522123893805309,0.5991829738547332,1913.191127538681,0.5950949633317087,0.8048901133169455,1,1,3,inceptionM,WESAD
1276,0.6893660088194897,0.7212389380530974,0.5933526030207815,1073.0597677230837,0.6102009730665379,0.739618886014207,2,2,3,inceptionM,WESAD
1277,0.5702811244979921,0.7876106194690266,0.6150234741784038,1076.6936631202698,0.5823388166147009,0.8218981394858692,3,3,3,inceptionM,WESAD
